gene	phenotyp
ACRV1	Oocyte/zygote/embryo-maturation-arrest-21,-620610-(3),-Autosomal-dominant
ACSBG1	Retinitis-pigmentosa-90,-619007-(3),-Autosomal-recessive
ACSF3	Combined-malonic-and-methylmalonic-aciduria,-614265-(3),-Autosomal-recessive
ACSL4	Intellectual-developmental-disorder,-X-linked-63,-300387-(3),-X-linked-dominant
ACSL5	?Diarrhea-13,-620357-(3),-Autosomal-recessive
ACTA1	Congenital-myopathy-2B,-severe-infantile,-autosomal-recessive,-620265-(3),-Autosomal-recessive;-?Myopathy,-scapulohumeroperoneal,-616852-(3),-Autosomal-dominant;-Congenital-myopathy-2C,-severe-infantile,-autosomal-dominant,-620278-(3),-Autosomal-dominant;-Congenital-myopathy-2A,-typical,-autosomal-dominant,-161800-(3),-Autosomal-dominant
ACTA2	Smooth-muscle-dysfunction-syndrome,-613834-(3),-Autosomal-dominant;-Aortic-aneurysm,-familial-thoracic-6,-611788-(3),-Autosomal-dominant;-Moyamoya-disease-5,-614042-(3)
ACTB	Baraitser-Winter-syndrome-1,-243310-(3),-Autosomal-dominant;-Becker-nevus,-syndromic-or-isolated,-somatic-mosaic,-604919-(3);-Thrombocytopenia-8,-with-dysmorphic-features-and-developmental-delay,-620475-(3),-Autosomal-dominant;-Dystonia-deafness-syndrome-1,-607371-(3),-Autosomal-dominant;-Congenital-smooth-muscle-hamartoma-with-or-without-hemihypertrophy,-somatic-mosaic,-620470-(3)
ACTC1	Left-ventricular-noncompaction-4,-613424-(3),-Autosomal-dominant;-Cardiomyopathy,-hypertrophic,-11,-612098-(3),-Autosomal-dominant;-Atrial-septal-defect-5,-612794-(3),-Autosomal-dominant;-Cardiomyopathy,-dilated,-1R,-613424-(3),-Autosomal-dominant
ACTG1	Deafness,-autosomal-dominant-20/26,-604717-(3),-Autosomal-dominant;-Baraitser-Winter-syndrome-2,-614583-(3),-Autosomal-dominant
ACTG2	Megacystis-microcolon-intestinal-hypoperistalsis-syndrome-5,-619431-(3),-Autosomal-dominant;-Visceral-myopathy-1,-155310-(3),-Autosomal-dominant
ACTL6B	Developmental-and-epileptic-encephalopathy-76,-618468-(3),-Autosomal-recessive;-Intellectual-developmental-disorder-with-severe-speech-and-ambulation-defects,-618470-(3),-Autosomal-dominant
ACTL7A	Spermatogenic-failure-86,-620499-(3),-Autosomal-recessive
ACTL9	Spermatogenic-failure-53,-619258-(3),-Autosomal-recessive
ACTN1	Bleeding-disorder,-platelet-type,-15,-615193-(3),-Autosomal-dominant
ACTN2	Myopathy,-distal,-6,-adult-onset,-618655-(3),-Autosomal-dominant;-Cardiomyopathy,-hypertrophic,-23,-with-or-without-LVNC,-612158-(3),-Autosomal-dominant;-Congenital-myopathy-8,-618654-(3),-Autosomal-dominant;-Cardiomyopathy,-dilated,-1AA,-with-or-without-LVNC,-612158-(3),-Autosomal-dominant
ACTN3	[Sprinting-performance],-617749-(3),-Autosomal-recessive;-[Alpha-actinin-3-deficiency],-617749-(3),-Autosomal-recessive
ACTN4	Glomerulosclerosis,-focal-segmental,-1,-603278-(3),-Autosomal-dominant
ACVR1	Fibrodysplasia-ossificans-progressiva,-135100-(3),-Autosomal-dominant
ACVR1B	Pancreatic-cancer,-somatic,-260350-(3)
ACVR2B	Heterotaxy,-visceral,-4,-autosomal,-613751-(3)
ACVRL1	Telangiectasia,-hereditary-hemorrhagic,-type-2,-600376-(3),-Autosomal-dominant
ACYP1,NPC2	Niemann-pick-disease,-type-C2,-607625-(3),-Autosomal-recessive
ADA	Adenosine-deaminase-deficiency,-partial,-102700-(3),-Somatic-mosaicism,-Autosomal-recessive;-Severe-combined-immunodeficiency-due-to-ADA-deficiency,-102700-(3),-Somatic-mosaicism,-Autosomal-recessive
ADA2	Sneddon-syndrome,-182410-(3),-Autosomal-recessive;-Vasculitis,-autoinflammation,-immunodeficiency,-and-hematologic-defects-syndrome,-615688-(3),-Autosomal-recessive
ADAM10	{Alzheimer-disease-18,-susceptibility-to},-615590-(3);-Reticulate-acropigmentation-of-Kitamura,-615537-(3),-Autosomal-dominant
ADAM17	?Inflammatory-skin-and-bowel-disease,-neonatal,-1,-614328-(3),-Autosomal-recessive;-?Hypotichosis-16,-621490-(3),-Autosomal-dominant
ADAM22	Developmental-and-epileptic-encephalopathy-61,-617933-(3),-Autosomal-recessive
ADAM9	Cone-rod-dystrophy-9,-612775-(3),-Autosomal-recessive
ADAMTS10	Weill-Marchesani-syndrome-1,-recessive,-277600-(3),-Autosomal-recessive
ADAMTS13	Thrombotic-thrombocytopenic-purpura,-hereditary,-274150-(3),-Autosomal-recessive
ADAMTS15	Arthrogryposis,-distal,-type-12,-620545-(3),-Autosomal-recessive
ADAMTS17	Weill-Marchesani-4-syndrome,-recessive,-613195-(3),-Autosomal-recessive
ADAMTS18	Microcornea,-myopic-chorioretinal-atrophy,-and-telecanthus,-615458-(3),-Autosomal-recessive
ADAMTS19	Cardiac-valvular-dysplasia-2,-620067-(3),-Autosomal-recessive
ADAMTS2	Ehlers-Danlos-syndrome,-dermatosparaxis-type,-225410-(3),-Autosomal-recessive
ADAMTS3	Hennekam-lymphangiectasia-lymphedema-syndrome-3,-618154-(3),-Autosomal-recessive
ADAMTS4	?Leber-like-hereditary-optic-neuropathy,-autosomal-recessive-2,-620569-(3),-Autosomal-recessive;-Mitochondrial-complex-I-deficiency,-nuclear-type-6,-618228-(3),-Autosomal-recessive
ADAMTSL2	Geleophysic-dysplasia-1,-231050-(3),-Autosomal-recessive
ADAMTSL4	Ectopia-lentis-et-pupillae,-225200-(3),-Autosomal-recessive;-Ectopia-lentis,-isolated,-autosomal-recessive,-225100-(3),-Autosomal-recessive
ADAR	Dyschromatosis-symmetrica-hereditaria,-127400-(3),-Autosomal-dominant;-Aicardi-Goutieres-syndrome-6,-615010-(3),-Autosomal-recessive
ADARB1	Neurodevelopmental-disorder-with-hypotonia,-microcephaly,-and-seizures,-618862-(3),-Autosomal-recessive
ADAT3	Neurodevelopmental-disorder-with-brain-abnormalities,-poor-growth,-and-dysmorphic-facies,-615286-(3),-Autosomal-recessive
ADCY1	?Deafness,-autosomal-recessive-44,-610154-(3),-Autosomal-recessive
ADCY10	{Hypercalciuria,-absorptive,-susceptibility-to},-143870-(3),-Autosomal-dominant
ADCY3	{Obesity,-susceptibility-to,-BMIQ19},-617885-(3),-Autosomal-recessive
