gene	phenotyp
KLF1	Blood-group--Lutheran-inhibitor,-111150-(3),-Autosomal-dominant;-[Hereditary-persistence-of-fetal-hemoglobin],-613566-(3),-Autosomal-dominant;-Anemia,-dyserythropoietic-congenital,-type-IVa,-613673-(3),-Autosomal-dominant;-Anemia,-congenital-dyserythropoietic,-type-IVb,-620969-(3),-Autosomal-recessive
KLF11	Maturity-onset-diabetes-of-the-young,-type-VII,-610508-(3)
KLF6	Gastric-cancer,-somatic,-613659-(3);-Prostate-cancer,-somatic,-176807-(3)
KLHDC2	Intellectual-developmental-disorder-with-speech-delay-and-axonal-peripheral-neuropathy,-619099-(3),-Autosomal-recessive
KLHDC8B	{Hodgkin-lymphoma,-susceptibility-to},-236000-(3),-Autosomal-recessive
KLHL1	{Parkinson-disease,-susceptibility-to},-168600-(3),-Multifactorial,-Autosomal-dominant;-Spinocerebellar-ataxia-8,-608768-(3),-Autosomal-dominant
KLHL10	Spermatogenic-failure-11,-615081-(3),-Autosomal-dominant
KLHL15	Intellectual-developmental-disorder,-X-linked-103,-300982-(3),-X-linked-recessive
KLHL20	Neurodevelopmental-disorder-with-early-onset-seizures,-facial-dysmorphism,-and-behavioral-abnormalities,-621390-(3),-Autosomal-dominant
KLHL24	Cardiomyopathy,-familial-hypertrophic,-29,-with-polyglucosan-bodies,-620236-(3),-Autosomal-recessive;-Epidermolysis-bullosa-simplex-6,-generalized-intermediate,-with-or-without-cardiomyopathy,-617294-(3),-Autosomal-dominant
KLHL3	Pseudohypoaldosteronism,-type-IID,-614495-(3),-Autosomal-dominant,-Autosomal-recessive
KLHL40	Nemaline-myopathy-8,-autosomal-recessive,-615348-(3),-Autosomal-recessive
KLHL41	Nemaline-myopathy-9,-615731-(3),-Autosomal-recessive
KLHL7	Retinitis-pigmentosa-42,-612943-(3),-Autosomal-dominant;-PERCHING-syndrome,-617055-(3),-Autosomal-recessive
KLK1	[Kallikrein,-decreased-urinary-activity-of],-615953-(3)
KLK11	Ichthyosis-with-erythrokeratoderma,-620507-(3),-Autosomal-dominant
KLK4	Amelogenesis-imperfecta,-type-IIA1,-204700-(3),-Autosomal-recessive
KLKB1	Fletcher-factor-(prekallikrein)-deficiency,-612423-(3),-Autosomal-recessive
KLLN	Cowden-syndrome-4,-615107-(3),-Isolated-cases
KMT2A	Wiedemann-Steiner-syndrome,-605130-(3),-Autosomal-dominant
KMT2A,SEPTIN9	Amyotrophy,-hereditary-neuralgic,-162100-(3),-Autosomal-dominant
KMT2B	Intellectual-developmental-disorder,-autosomal-dominant-68,-619934-(3),-Autosomal-dominant;-Dystonia-28,-childhood-onset,-617284-(3),-Autosomal-dominant
KMT2C	Kleefstra-syndrome-2,-617768-(3),-Autosomal-dominant
KMT2D	Branchial-arch-abnormalities,-choanal-atresia,-athelia,-hearing-loss,-and-hypothyroidism-syndrome,-620186-(3),-Autosomal-dominant;-Kabuki-syndrome-1,-147920-(3),-Autosomal-dominant
KMT2E	O'Donnell-Luria-Rodan-syndrome,-618512-(3),-Autosomal-dominant
KMT5B	Intellectual-developmental-disorder,-autosomal-dominant-51,-617788-(3),-Autosomal-dominant
KNG1	[Kininogen-deficiency],-228960-(3),-Autosomal-recessive;-Angioedema,-hereditary,-6,-619363-(3),-Autosomal-dominant;-[High-molecular-weight-kininogen-deficiency],-228960-(3),-Autosomal-recessive
KNL1	Microcephaly-4,-primary,-autosomal-recessive,-604321-(3),-Autosomal-recessive
KNSTRN	?Roifman-Chitayat-syndrome,-digenic,-613328-(3),-Digenic-recessive
KPNA3	Spastic-paraplegia-88,-autosomal-dominant,-620106-(3),-Autosomal-dominant
KPNA7	Oocyte/zygote/embryo-maturation-arrest-17,-620319-(3),-Autosomal-recessive
KPTN	Intellectual-developmental-disorder,-autosomal-recessive-41,-615637-(3),-Autosomal-recessive
KRAS	Gastric-cancer,-somatic,-613659-(3);-Oculoectodermal-syndrome,-somatic,-600268-(3);-Breast-cancer,-somatic,-114480-(3);-Noonan-syndrome-3,-609942-(3),-Autosomal-dominant;-RAS-associated-autoimmune-leukoproliferative-disorder,-614470-(3),-Autosomal-dominant;-Arteriovenous-malformation-of-the-brain,-somatic,-108010-(3);-Lung-cancer,-somatic,-211980-(3);-Pancreatic-carcinoma,-somatic,-260350-(3);-Leukemia,-acute-myeloid,-somatic,-601626-(3);-Schimmelpenning-Feuerstein-Mims-syndrome,-somatic-mosaic,-163200-(3);-Cardiofaciocutaneous-syndrome-2,-615278-(3),-Autosomal-dominant;-Bladder-cancer,-somatic,-109800-(3)
KREMEN1	Ectodermal-dysplasia-13,-hair/tooth-type,-617392-(3),-Autosomal-recessive
KRIT1	Hyperkeratotic-cutaneous-capillary-venous-malformations-associated-with-cerebral-capillary-malformations,-116860-(3),-Autosomal-dominant;-Cerebral-cavernous-malformations-1,-116860-(3),-Autosomal-dominant;-Cavernous-malformations-of-CNS-and-retina,-116860-(3),-Autosomal-dominant
KRT1	Ichthyosis,-annular-epidermolytic-2,-620148-(3),-Autosomal-dominant;-Palmoplantar-keratoderma,-nonepidermolytic,-600962-(3),-Autosomal-dominant;-Epidermolytic-hyperkeratosis-1,-113800-(3),-Autosomal-dominant;-Palmoplantar-keratoderma,-epidermolytic,-2,-620411-(3),-Autosomal-dominant;-Keratosis-palmoplantaris-striata-III,-607654-(3);-Ichthyosis-histrix,-Curth-Macklin-type,-146590-(3),-Autosomal-dominant
KRT10	Ichthyosis,-annular-epidermolytic-1,-607602-(3),-Autosomal-dominant;-Epidermolytic-hyperkeratosis-2B,-autosomal-recessive,-620707-(3),-Autosomal-recessive;-Epidermolytic-hyperkeratosis-2A,-autosomal-dominant,-620150-(3),-Autosomal-dominant;-?Ichthyosis-histrix,-Lambert-type,-146600-(3),-Autosomal-dominant;-Ichthyosis-with-confetti,-609165-(3),-Autosomal-dominant
KRT12	Meesmann-corneal-dystrophy-1,-122100-(3),-Autosomal-dominant
KRT13	White-sponge-nevus-2,-615785-(3),-Autosomal-dominant
KRT14	Epidermolysis-bullosa-simplex-1D,-generalized,-intermediate-or-severe,-autosomal-recessive,-601001-(3),-Autosomal-recessive;-Epidermolysis-bullosa-simplex-1C,-localized,-131800-(3),-Autosomal-dominant;-Dermatopathia-pigmentosa-reticularis,-125595-(3),-Autosomal-dominant;-Epidermolysis-bullosa-simplex-1A,-generalized-severe,-131760-(3),-Autosomal-dominant;-Naegeli-Franceschetti-Jadassohn-syndrome,-161000-(3),-Autosomal-dominant;-Epidermolysis-bullosa-simplex-1B,-generalized-intermediate,-131900-(3),-Autosomal-dominant
KRT16	Palmoplantar-keratoderma,-nonepidermolytic,-focal,-613000-(3),-Autosomal-dominant;-Pachyonychia-congenita-1,-167200-(3),-Autosomal-dominant
KRT17	Steatocystoma-multiplex,-184500-(3),-Autosomal-dominant;-Pachyonychia-congenita-2,-167210-(3),-Autosomal-dominant
KRT18	Cirrhosis,-cryptogenic,-215600-(3),-Autosomal-recessive;-{Cirrhosis,-noncryptogenic,-susceptibility-to},-215600-(3),-Autosomal-recessive
KRT2	Ichthyosis-bullosa-of-Siemens,-146800-(3),-Autosomal-dominant
KRT25	Woolly-hair,-autosomal-recessive-3,-616760-(3),-Autosomal-recessive
KRT3	Meesmann-corneal-dystrophy-2,-618767-(3),-Autosomal-dominant
KRT4	White-sponge-nevus-1,-193900-(3),-Autosomal-dominant
KRT5	Epidermolysis-bullosa-simplex-2A,-generalized-severe,-619555-(3),-Autosomal-dominant;-Dowling-Degos-disease-1,-179850-(3),-Autosomal-dominant;-Epidermolysis-bullosa-simplex-2F,-with-mottled-pigmentation,-131960-(3),-Autosomal-dominant;-Epidermolysis-bullosa-simplex-2D,-generalized,-intermediate-or-severe,-autosomal-recessive,-619599-(3),-Autosomal-recessive;-Epidermolysis-bullosa-simplex-2B,-generalized-intermediate,-619588-(3),-Autosomal-dominant;-Epidermolysis-bullosa-simplex-2C,-localized,-619594-(3),-Autosomal-dominant;-Epidermolysis-bullosa-simplex-2E,-with-migratory-circinate-erythema,-609352-(3),-Autosomal-dominant
KRT6A	Pachyonychia-congenita-3,-615726-(3),-Autosomal-dominant
KRT6B	Pachyonychia-congenita-4,-615728-(3),-Autosomal-dominant
KRT6C	Palmoplantar-keratoderma,-nonepidermolytic,-focal-or-diffuse,-615735-(3),-Autosomal-dominant
KRT71	?Hypotrichosis-13,-615896-(3),-Autosomal-dominant
KRT74	Woolly-hair,-autosomal-dominant,-194300-(3),-Autosomal-dominant;-?Hypotrichosis-3,-613981-(3),-Autosomal-dominant;-?Ectodermal-dysplasia-7,-hair/nail-type,-614929-(3),-Autosomal-recessive
KRT75	{Pseudofolliculitis-barbae,-susceptibility-to},-612318-(3)
KRT8	Cirrhosis,-cryptogenic,-215600-(3),-Autosomal-recessive;-{Cirrhosis,-noncryptogenic,-susceptibility-to},-215600-(3),-Autosomal-recessive
KRT81	Monilethrix-1,-158000-(3),-Autosomal-dominant
KRT81	Monilethrix-2,-621169-(3),-Autosomal-dominant
KRT83	Monilethrix-3,-621170-(3),-Autosomal-dominant;-Erythrokeratodermia-variabilis-et-progressiva-5,-617756-(3),-Autosomal-recessive
KRT85	Ectodermal-dysplasia-4,-hair/nail-type,-602032-(3),-Autosomal-recessive
KRT86	Monilethrix-1,-158000-(3),-Autosomal-dominant
KRT8,KRT18	Cirrhosis,-cryptogenic,-215600-(3),-Autosomal-recessive;-{Cirrhosis,-noncryptogenic,-susceptibility-to},-215600-(3),-Autosomal-recessive
KRT9	Palmoplantar-keratoderma,-epidermolytic,-1,-144200-(3),-Autosomal-dominant
KRTAP10-1	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP10-11	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP10-12	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP10-2	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP10-3	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP10-4	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP10-4,KRTAP10-10	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP10-4,KRTAP10-7	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP10-4,KRTAP10-9	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP10-5	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP10-6	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP10-8	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP12-1	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP12-2	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP12-3	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KRTAP12-4	Tooth-agenesis,-selective,-10,-620173-(3),-Autosomal-recessive;-?Deafness,-autosomal-recessive-98,-614861-(3),-Autosomal-recessive;-Ectodermal-dysplasia-14,-hypohidrotic/hair/tooth/nail-type,-618180-(3),-Autosomal-recessive
KY	Myopathy,-myofibrillar,-7,-617114-(3),-Autosomal-recessive
KY	?Seckel-syndrome-6,-614728-(3),-Autosomal-recessive
KYNU	?Hydroxykynureninuria,-236800-(3),-Autosomal-recessive;-Vertebral,-cardiac,-renal,-and-limb-defects-syndrome-2,-617661-(3),-Autosomal-recessive
L1CAM	MASA-syndrome,-303350-(3),-X-linked-recessive;-Hydrocephalus,-congenital,-X-linked,-307000-(3),-X-linked-recessive;-?Corpus-callosum,-partial-agenesis-of,-304100-(3),-X-linked-recessive
L2HGDH	L-2-hydroxyglutaric-aciduria,-236792-(3),-Autosomal-recessive
LACC1	Juvenile-arthritis,-618795-(3),-Autosomal-recessive
LAD1	Cardiomyopathy,-dilated,-1D,-601494-(3),-Autosomal-dominant;-Cardiomyopathy,-hypertrophic,-2,-115195-(3),-Autosomal-dominant;-Cardiomyopathy,-familial-restrictive,-3,-612422-(3),-Autosomal-dominant;-Left-ventricular-noncompaction-6,-601494-(3),-Autosomal-dominant
LAGE3	Galloway-Mowat-syndrome-2,-X-linked,-301006-(3),-X-linked-recessive
LAMA1	Poretti-Boltshauser-syndrome,-615960-(3),-Autosomal-recessive
LAMA2	Muscular-dystrophy,-limb-girdle,-autosomal-recessive-23,-618138-(3),-Autosomal-recessive;-Muscular-dystrophy,-congenital,-merosin-deficient-or-partially-deficient,-607855-(3),-Autosomal-recessive
LAMA3	Epidermolysis-bullosa,-junctional-2A,-intermediate,-619783-(3),-Autosomal-recessive;-Epidermolysis-bullosa,-junctional-2C,-laryngoonychocutaneous,-245660-(3),-Autosomal-recessive;-Epidermolysis-bullosa,-junctional-2B,-severe,-619784-(3),-Autosomal-recessive
LAMA4	Cardiomyopathy,-dilated,-1JJ,-615235-(3),-Autosomal-dominant
LAMA5	Nephrotic-syndrome,-type-26,-620049-(3),-Autosomal-recessive;-?Bent-bone-dysplasia-syndrome-2,-620076-(3),-Autosomal-recessive
LAMB1	Leukoencephalopathy-without-lacunae,-adult-onset,-621424-(3),-Autosomal-dominant;-Leukoencephalopathy-with-variable-cortical-brain-malformations-and/or-hydrocephalus,-615191-(3),-Autosomal-recessive
LAMB2	Nephrotic-syndrome,-type-5,-with-or-without-ocular-abnormalities,-614199-(3),-Autosomal-recessive;-Pierson-syndrome,-609049-(3),-Autosomal-recessive
LAMB3	Epidermolysis-bullosa,-junctional-1B,-severe,-226700-(3),-Autosomal-recessive;-Epidermolysis-bullosa,-junctional-1A,-intermediate,-226650-(3),-Autosomal-recessive;-Amelogenesis-imperfecta,-type-IA,-104530-(3),-Autosomal-dominant
LAMC2	Epidermolysis-bullosa,-junctional-3B,-severe,-619786-(3),-Autosomal-recessive;-Epidermolysis-bullosa,-junctional-3A,-intermediate,-619785-(3),-Autosomal-recessive
LAMC3	Cortical-malformations,-occipital,-614115-(3),-Autosomal-recessive
LAMP2	Danon-disease,-300257-(3),-X-linked-dominant
LAMTOR1	Deafness,-autosomal-recessive-63,-611451-(3),-Autosomal-recessive
LAMTOR2	?Immunodeficiency-due-to-defect-in-MAPBP-interacting-protein,-610798-(3),-Autosomal-recessive
LAMTOR4	?Microcephaly-25,-primary,-autosomal-recessive,-618351-(3),-Autosomal-recessive
LARGE1	Muscular-dystrophy-dystroglycanopathy-(congenital-with-impaired-intellectual-development),-type-B,-6,-608840-(3),-Autosomal-recessive;-Muscular-dystrophy-dystroglycanopathy-(congenital-with-brain-and-eye-anomalies),-type-A,-6,-613154-(3),-Autosomal-recessive
LARP7	Alazami-syndrome,-615071-(3),-Autosomal-recessive
LARS1	?Infantile-liver-failure-syndrome-1,-615438-(3),-Autosomal-recessive
LARS2	Perrault-syndrome-4,-615300-(3),-Autosomal-recessive;-Hydrops,-lactic-acidosis,-and-sideroblastic-anemia,-617021-(3),-Autosomal-recessive
LAS1L	Wilson-Turner-syndrome,-309585-(3),-X-linked-recessive
LAT	Immunodeficiency-52,-617514-(3),-Autosomal-recessive
LBHD1,UQCC3	?Mitochondrial-complex-III-deficiency,-nuclear-type-9,-616111-(3),-Autosomal-recessive
LBR	Pelger-Huet-anomaly,-169400-(3),-Autosomal-dominant;-?Reynolds-syndrome,-613471-(3),-Autosomal-dominant;-Rhizomelic-skeletal-dysplasia-with-or-without-Pelger-Huet-anomaly,-618019-(3),-Autosomal-recessive;-Greenberg-skeletal-dysplasia,-215140-(3),-Autosomal-recessive
LBX1	?Central-hypoventilation-syndrome,-congenital,-3,-619483-(3),-Autosomal-recessive
LCA5	Leber-congenital-amaurosis-5,-604537-(3),-Autosomal-recessive
LCAT	Fish-eye-disease,-136120-(3),-Autosomal-recessive;-Norum-disease,-245900-(3),-Autosomal-recessive
LCK	Immunodeficiency-22,-615758-(3),-Autosomal-recessive
LCP2	Immunodeficiency-81,-619374-(3),-Autosomal-recessive
LCT	Lactase-deficiency,-congenital,-223000-(3),-Autosomal-recessive
LDB3	Left-ventricular-noncompaction-3,-601493-(3),-Autosomal-dominant;-Cardiomyopathy,-dilated,-2L,-621237-(3),-Autosomal-recessive;-Cardiomyopathy,-hypertrophic,-24,-601493-(3),-Autosomal-dominant;-Myopathy,-myofibrillar,-4,-609452-(3),-Autosomal-dominant;-Cardiomyopathy,-dilated,-1C,-with-or-without-LVNC,-601493-(3),-Autosomal-dominant
LDHA	Glycogen-storage-disease-XI,-612933-(3),-Autosomal-recessive
LDHA	Hermansky-Pudlak-syndrome-5,-614074-(3),-Autosomal-recessive
LDHAL6B	Glomerulosclerosis,-focal-segmental,-6,-614131-(3),-Autosomal-recessive
LDHB	[Lactate-dehydrogenase-B-deficiency],-614128-(3)
LDHD	D-lactic-aciduria-with-susceptibility-to-gout,-245450-(3),-Autosomal-recessive
LDLR	LDL-cholesterol-level-QTL2,-143890-(3),-Autosomal-dominant,-Autosomal-recessive;-Hypercholesterolemia,-familial,-1,-143890-(3),-Autosomal-dominant,-Autosomal-recessive
LDLRAP1	Hypercholesterolemia,-familial,-4,-603813-(3),-Autosomal-recessive
LEF1	Ectodermal-dysplasia-17-with-or-without-limb-malformations,-621224-(3),-Autosomal-dominant
LEMD2	Marbach-Rustad-progeroid-syndrome,-619322-(3),-Autosomal-dominant;-Cataract-46,-juvenile-onset,-212500-(3),-Autosomal-recessive
LEMD3	Buschke-Ollendorff-syndrome,-166700-(3),-Autosomal-dominant;-Osteopoikilosis-with-or-without-melorheostosis,-166700-(3),-Autosomal-dominant
LEP	Obesity,-morbid,-due-to-leptin-deficiency,-614962-(3),-Autosomal-recessive
LEPR	Obesity,-morbid,-due-to-leptin-receptor-deficiency,-614963-(3),-Autosomal-recessive
LEPR,LEPROT	Obesity,-morbid,-due-to-leptin-receptor-deficiency,-614963-(3),-Autosomal-recessive
LEPROT	Obesity,-morbid,-due-to-leptin-receptor-deficiency,-614963-(3),-Autosomal-recessive
LETM1	Neurodegeneration,-childhood-onset,-with-multisystem-involvement-due-to-mitochondrial-dysfunction,-620089-(3),-Autosomal-recessive
LFNG	Spondylocostal-dysostosis-3,-autosomal-recessive,-609813-(3),-Autosomal-recessive
LGALS2	{Myocardial-infarction,-susceptibility-to},-608446-(3)
LGI1	Developmental-and-epileptic-encephalopathy-121,-621475-(3),-Autosomal-recessive;-Epilepsy,-familial-temporal-lobe,-1,-600512-(3),-Autosomal-dominant
LGI3	Intellectual-developmental-disorder-with-muscle-tone-abnormalities-and-distal-skeletal-defects,-620007-(3),-Autosomal-recessive
LGI4	Arthrogryposis-multiplex-congenita-1,-neurogenic,-with-myelin-defect,-617468-(3),-Autosomal-recessive
LGR4	Delayed-puberty,-self-limited,-619613-(3),-Autosomal-dominant;-{Bone-mineral-density,-low,-susceptibility-to},-615311-(3),-Autosomal-dominant
LHB	Hypogonadotropic-hypogonadism-23-with-or-without-anosmia,-228300-(3),-Autosomal-recessive
LHCGR	Leydig-cell-adenoma,-somatic,-with-precocious-puberty,-176410-(3);-Leydig-cell-hypoplasia-with-pseudohermaphroditism,-238320-(3),-Autosomal-recessive;-Leydig-cell-hypoplasia-with-hypergonadotropic-hypogonadism,-238320-(3),-Autosomal-recessive;-Luteinizing-hormone-resistance,-female,-238320-(3),-Autosomal-recessive;-Precocious-puberty,-male,-176410-(3),-Autosomal-dominant
LHFPL5	Deafness,-autosomal-recessive-67,-610265-(3),-Autosomal-recessive
LHX3	Pituitary-hormone-deficiency,-combined,-3,-221750-(3),-Autosomal-recessive
LHX4	Neurodevelopmental-disorder-with-progressive-movement-abnormalities,-620785-(3),-Autosomal-recessive
LHX4	Pituitary-hormone-deficiency,-combined,-4,-262700-(3),-Autosomal-dominant
LIAS	Hyperglycinemia,-lactic-acidosis,-and-seizures,-614462-(3),-Autosomal-recessive
LIFR	Stuve-Wiedemann-syndrome/Schwartz-Jampel-type-2-syndrome,-601559-(3),-Autosomal-recessive
LIG1	Immunodeficiency-96,-619774-(3),-Autosomal-recessive
LIG3	Mitochondrial-DNA-depletion-syndrome-20-(MNGIE-type),-619780-(3),-Autosomal-recessive
LIG4	LIG4-syndrome,-606593-(3),-Autosomal-recessive;-{Multiple-myeloma,-resistance-to},-254500-(3),-Somatic-mutation
LIM2	Cataract-19,-multiple-types,-615277-(3),-Autosomal-dominant,-Autosomal-recessive
LIMA1	[Low-density-lipoprotein-cholesterol-level-QTL-8],-618079-(3)
LIMS2	?Muscular-dystrophy,-autosomal-recessive,-with-cardiomyopathy-and-triangular-tongue,-616827-(3),-Autosomal-recessive
LINGO1	Intellectual-developmental-disorder,-autosomal-recessive-64,-618103-(3),-Autosomal-recessive
LINS1	Intellectual-developmental-disorder,-autosomal-recessive-27,-614340-(3),-Autosomal-recessive
LIPA	Wolman-disease,-620151-(3),-Autosomal-recessive;-Cholesteryl-ester-storage-disease,-278000-(3),-Autosomal-recessive
LIPC	{Diabetes-mellitus,-noninsulin-dependent},-125853-(3),-Autosomal-dominant;-Hepatic-lipase-deficiency,-614025-(3),-Autosomal-recessive;-[High-density-lipoprotein-cholesterol-level-QTL-12],-612797-(3)
LIPE	Lipodystrophy,-familial-partial,-type-6,-615980-(3),-Autosomal-recessive
LIPH	Hypotrichosis-7,-604379-(3),-Autosomal-recessive;-Woolly-hair,-autosomal-recessive-2-with-or-without-hypotrichosis,-604379-(3),-Autosomal-recessive
LIPN	Ichthyosis,-congenital,-autosomal-recessive-8,-613943-(3),-Autosomal-recessive
LIPT1	Lipoyltransferase-1-deficiency,-616299-(3),-Autosomal-recessive
LIPT2	Encephalopathy,-neonatal-severe,-with-lactic-acidosis-and-brain-abnormalities,-617668-(3),-Autosomal-recessive
LITAF	Charcot-Marie-Tooth-disease,-type-1C,-601098-(3),-Autosomal-dominant
LMAN1	Combined-factor-V-and-VIII-deficiency,-227300-(3),-Autosomal-recessive
LMAN2L	?Intellectual-developmental-disorder,-autosomal-dominant-69,-617863-(3),-Autosomal-dominant;-?Intellectual-developmental-disorder,-autosomal-recessive-52,-616887-(3),-Autosomal-recessive
LMBR1	Polydactyly,-preaxial-II,-174500-(3),-Autosomal-dominant;-Triphalangeal-thumb,-174500-(3),-Autosomal-dominant;-Tibia,-hypoplasia-or-aplasia-of,-with-polydactyly,-188740-(3),-Autosomal-dominant,-Autosomal-recessive
LMBR1	Syndactyly,-type-IV,-186200-(3),-Autosomal-dominant;-Laurin-Sandrow-syndrome,-135750-(3),-Autosomal-dominant;-Acheiropody,-200500-(3),-Autosomal-recessive;-Triphalangeal-thumb-polysyndactyly-syndrome,-190605-(3),-Autosomal-dominant
LMBRD1	Methylmalonic-aciduria-and-homocystinuria,-cblF-type,-277380-(3),-Autosomal-recessive
LMBRD2	Developmental-delay-with-variable-neurologic-and-brain-abnormalities,-619694-(3),-Autosomal-dominant
LMF1	Lipase-deficiency,-combined,-246650-(3),-Autosomal-recessive
LMLN2	Heterotaxy,-visceral,-12,-autosomal,-619702-(3),-Autosomal-recessive
LMNA	Mandibuloacral-dysplasia,-248370-(3),-Autosomal-recessive;-Heart-hand-syndrome,-Slovenian-type,-610140-(3),-Autosomal-dominant;-Cardiomyopathy,-dilated,-1A,-115200-(3),-Autosomal-dominant;-Emery-Dreifuss-muscular-dystrophy-3,-autosomal-recessive,-616516-(3),-Autosomal-recessive;-Restrictive-dermopathy-2,-619793-(3),-Autosomal-dominant;-Charcot-Marie-Tooth-disease,-type-2B1,-605588-(3),-Autosomal-recessive;-Emery-Dreifuss-muscular-dystrophy-2,-autosomal-dominant,-181350-(3),-Autosomal-dominant;-Hutchinson-Gilford-progeria,-176670-(3),-Autosomal-dominant;-Lipodystrophy,-familial-partial,-type-2,-151660-(3),-Autosomal-dominant;-Muscular-dystrophy,-congenital,-613205-(3),-Autosomal-dominant;-Malouf-syndrome,-212112-(3),-Autosomal-dominant
LMNB1	Microcephaly-26,-primary,-autosomal-dominant,-619179-(3),-Autosomal-dominant
LMNB2	Microcephaly-27,-primary,-autosomal-dominant,-619180-(3),-Autosomal-dominant;-?Epilepsy,-progressive-myoclonic,-9,-616540-(3),-Autosomal-recessive;-{Lipodystrophy,-partial,-acquired,-susceptibility-to},-608709-(3),-Autosomal-dominant
LMO1	Leukemia,-T-cell-acute-lymphoblastic,-186921-(2)
LMO2	Leukemia,-acute-T-cell,-180385-(2)
LMOD1	?Megacystis-microcolon-intestinal-hypoperistalsis-syndrome-3,-619362-(3),-Autosomal-recessive
LMOD2	Cardiomyopathy,-dilated,-2G,-619897-(3),-Autosomal-recessive
LMOD3	Nemaline-myopathy-10,-616165-(3),-Autosomal-recessive
LMX1A	Deafness,-autosomal-dominant-7,-601412-(3),-Autosomal-dominant
LMX1B	Focal-segmental-glomerulosclerosis-10,-256020-(3),-Autosomal-dominant;-Nail-patella-syndrome,-161200-(3),-Autosomal-dominant
LNPK	Neurodevelopmental-disorder-with-epilepsy-and-hypoplasia-of-the-corpus-callosum,-618090-(3),-Autosomal-recessive
